GUARD CENSUS — GUARDS-MUST-PROVE-THEY-FIRE-01 (2026-09-01T19:08:42Z)
guards: 125 | fixtures run: 4 | fixture-proven: 4 | regressions: 0
(dead first: regressions, bails, missing, not-wired, never-ran — the top of this table is where the failures live)
GUARD                                      EVENT            STATE             LAST-RAN              LAST-FIRED            FIXTURE
leadv2-auto-clear-after-close.sh";         Stop             missing           -                     -                     no
leadv2-bg-stop-warn.sh";                   Stop             missing           -                     -                     no
leadv2-broken-signal-gate.sh";             UserPromptSubmit missing           -                     -                     no
leadv2-command-bootstrap.sh";              SessionStart     missing           -                     -                     no
leadv2-compact-warn.sh";                   UserPromptSubmit missing           -                     -                     no
leadv2-continuation-guard.sh";             Stop             missing           -                     -                     no
leadv2-cwd-changed.sh";                    CwdChanged       missing           -                     -                     no
leadv2-force-reflect.sh";                  Stop             missing           -                     -                     no
leadv2-idle-notification-filter.sh";       UserPromptSubmit missing           -                     -                     no
leadv2-install-dispatcher.sh";             SessionStart     missing           -                     -                     no
leadv2-lane-watch-v2.sh                    SessionEnd,SessionStart missing           -                     -                     no
leadv2-lead-prose-guard.sh";               Stop             missing           -                     -                     no
leadv2-learn-consume.sh";                  SessionStart     missing           -                     -                     no
leadv2-link-tree-heal.sh";                 SessionStart     missing           -                     -                     no
leadv2-merged-worktree-sweep.sh";          SessionStart     missing           -                     -                     no
leadv2-one-copy-drift.sh";                 SessionStart     missing           -                     -                     no
leadv2-orphan-monitor-sweep.sh";           SessionStart     missing           -                     -                     no
leadv2-pending-close-inject.sh";           SessionStart     missing           -                     -                     no
leadv2-pending-questions-inject.sh";       SessionStart     missing           -                     -                     no
leadv2-postcompact-goal-reinject.sh";      PostCompact      missing           -                     -                     no
leadv2-pre-compact-checkpoint.sh";         PreCompact       missing           -                     -                     no
leadv2-precompact-log.sh";                 PostCompact,PreCompact missing           -                     -                     no
leadv2-promise-guard.sh";                  Stop             missing           -                     -                     no
leadv2-pulse-enforcer.sh";                 UserPromptSubmit missing           -                     -                     no
leadv2-single-lead-beat.sh";               UserPromptSubmit missing           -                     -                     no
leadv2-stale-pid-sweep.sh";                SessionStart     missing           -                     -                     no
leadv2-subagent-stop-verify.sh";           SubagentStop     missing           -                     -                     no
leadv2-task-anchor.sh";                    UserPromptSubmit missing           -                     -                     no
leadv2-task-created.sh";                   TaskCreated      missing           -                     -                     no
leadv2-truth-card-inject.sh";              SessionStart     missing           -                     -                     no
leadv2-user-prompt-context.sh";            UserPromptSubmit missing           -                     -                     no
post-compact-reground.sh";                 SessionStart     missing           -                     -                     no
leadv2-active-cache.sh                     PostToolUse      never-ran         -                     -                     no
leadv2-async-question-guard.sh             PreToolUse       never-ran         -                     -                     no
leadv2-auto-status.sh                      PostToolUse      never-ran         -                     -                     no
leadv2-bandit-preflight.sh                 PreToolUse       never-ran         -                     -                     no
leadv2-bash-output-cap.sh                  PostToolUse      never-ran         -                     -                     no
leadv2-bash-pre-dispatch.sh                PreToolUse       never-ran         -                     -                     no
leadv2-bg-ledger.sh                        PostToolUse      never-ran         -                     -                     no
leadv2-bg-watchdog-enforce.sh              PostToolUse      never-ran         -                     -                     no
leadv2-bg-watchdog-gate.sh                 PostToolUse      never-ran         -                     -                     no
leadv2-block-fg-agent.sh                   PreToolUse       never-ran         -                     -                     no
leadv2-blocker-drift-guard.sh              PreToolUse       never-ran         -                     -                     no
leadv2-codex-first-nudge.sh                PreToolUse       never-ran         -                     -                     no
leadv2-gate-artifact-guard.sh              PreToolUse       never-ran         -                     -                     no
leadv2-graph-cache-bust.sh                 PostToolUse      never-ran         -                     -                     no
leadv2-immune-intake-inject.sh             PreToolUse       never-ran         -                     -                     no
leadv2-lead-delegation-nudge.sh            PostToolUse      never-ran         -                     -                     no
leadv2-loop-detect-hook.sh                 PostToolUse,PreToolUse never-ran         -                     -                     no
leadv2-memory-guard.sh                     PreToolUse       never-ran         -                     -                     no
leadv2-model-inherit-guard.sh              PreToolUse       never-ran         -                     -                     no
leadv2-monitor-cap-gate.sh                 PreToolUse       never-ran         -                     -                     no
leadv2-no-opus-code-edit.sh                PreToolUse       never-ran         -                     -                     no
leadv2-one-copy-drift.sh                   PostToolUse      never-ran         -                     -                     no
leadv2-opus-read-budget.sh                 PreToolUse       never-ran         -                     -                     no
leadv2-read-gate.sh                        PreToolUse       never-ran         -                     -                     no
leadv2-routing-guard.sh                    PreToolUse       never-ran         -                     -                     no
leadv2-shared-script-warn.sh               PreToolUse       never-ran         -                     -                     no
leadv2-single-lead-beat.sh                 PostToolUse      never-ran         -                     -                     no
leadv2-skill-authoring-reminder.sh         PreToolUse       never-ran         -                     -                     no
leadv2-task-budget-tracker.sh              PostToolUse      never-ran         -                     -                     no
